Name,Hash,Id,Tag,Tier,Type,Source,Equippable,Power,Masterwork Type,Masterwork Tier,Owner,Locked,Equipped,Year,Season,Event,DTR Rating,# of Reviews,Mobility,Resilience,Recovery,Discipline,Intellect,Strength,Total,Mobility (Base),Resilience (Base),Recovery (Base),Discipline (Base),Intellect (Base),Strength (Base),Total (Base),Seasonal Mod,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5
War Mantis,803939997,"""6917529131362917235""",,Rare,Gauntlets,,Hunter,950,Void Energy Capacity,10,Hunter(971),true,false,2,4,,N/A,N/A,10,16,41,2,2,2,73,8,14,29,2,2,2,57,,"Wormhusk V 7510:Recovery, St0mp V 7510:Recovery, St0mp A 7510:Recovery, P Knuckle V 7510:Recovery",Recovery Mod*,Enhanced Sniper Rifle Loader*,Bergusian Night*,Upgrade Armor*,,
Iron Will Sleeves,2547799775,"""6917529126595169167""",,Legendary,Gauntlets,ironbanner,Hunter,954,Arc Energy Capacity,5,Hunter(971),true,false,3,8,,N/A,N/A,27,9,2,15,2,13,68,17,9,2,15,2,13,58,undying,,Mobility Mod*,Iron Mossbone*,Upgrade Armor*,,,
Prodigal Grasps,3593916933,"""6917529131997220259""",,Legendary,Gauntlets,,Hunter,950,Solar Energy Capacity,8,Hunter(971),false,false,2,4,,N/A,N/A,20,12,7,2,24,2,67,20,2,7,2,24,2,57,,,Resilience Mod*,Enhanced Sniper Rifle Loader*,Enhanced Rifle Loader*,Upgrade Armor*,,
War Mantis,803939997,"""6917529139569560122""",,Rare,Gauntlets,,Hunter,960,Arc Energy Capacity,8,Hunter(971),true,false,2,4,,N/A,N/A,4,24,34,0,0,0,62,4,14,34,0,0,0,52,,,Resilience Mod*,Enhanced Shotgun Loader*,Upgrade Armor*,,,
Prodigal Vest,3434158555,"""6917529112664500919""",,Legendary,Chest Armor,,Hunter,961,Void Energy Capacity,10,Hunter(971),true,false,2,4,,N/A,N/A,8,4,31,8,14,10,75,6,2,19,6,12,8,53,,"Whatever:Recov, Wormhusk:Paragon",Recovery Mod*,Enhanced Unflinching Sniper Aim*,Bergusian Night*,Upgrade Armor*,Qiao's Heart*,
Iron Will Vest,1058936857,"""6917529115175573385""",,Legendary,Chest Armor,ironbanner,Hunter,950,Arc Energy Capacity,9,Hunter(971),true,false,3,8,,N/A,N/A,10,10,19,2,9,20,70,10,10,9,2,9,20,60,undying,"PvP Khepri STR:Strength, PvP Liar Arc RESC:Recovery",Recovery Mod*,Unflinching Shotgun Aim*,Warbrick*,Upgrade Armor*,Neoteric Kiyot Vest*,
Iron Will Vest,1058936857,"""6917529135175350892""",,Legendary,Chest Armor,ironbanner,Hunter,950,Arc Energy Capacity,5,Hunter(971),true,false,3,8,,N/A,N/A,16,11,12,6,8,15,68,6,11,12,6,8,15,58,undying,,Mobility Mod*,Iron Mossbone*,Upgrade Armor*,,,
Dreambane Vest,883769696,"""6917529117091300103""",,Legendary,Chest Armor,moon,Hunter,950,Arc Energy Capacity,6,Hunter(971),true,false,3,8,,N/A,N/A,22,6,7,2,14,12,63,12,6,7,2,14,12,53,undying,PvE Nightmares:Paragon,Mobility Mod*,Supreme Nightmare Banisher*,Upgrade Armor*,Chthonic Vest*,,
Notorious Collector Vest,3525447589,"""6917529129260187683""",,Legendary,Chest Armor,,Hunter,960,Void Energy Capacity,10,Hunter(971),true,false,2,6,,N/A,N/A,11,10,26,14,20,4,85,9,8,14,12,18,2,63,,"General:Recov, Graviton Forfeit:Strength, Wormhusk:Paragon",Recovery Mod*,Unflinching Hand Cannon Aim*,Enhanced Unflinching Rifle Aim*,Collector +3*,Polished Sea Stone*,Upgrade Armor*
Reverie Dawn Hauberk,2467635521,"""6917529130208683681""",,Legendary,Chest Armor,,Hunter,950,Arc Energy Capacity,4,Hunter(971),true,false,2,4,,N/A,N/A,12,6,6,12,11,14,61,12,6,6,2,11,14,51,outlaw,PvE Dreaming City:Discipline,Discipline Mod*,Riven's Curse*,Burnished Dreams*,Upgrade Armor*,,
Righteous Vest,344824594,"""6917529142876166623""",,Legendary,Chest Armor,seasonpass,Hunter,961,Void Energy Capacity,6,Hunter(971),true,false,3,9,,N/A,N/A,16,12,6,16,9,7,66,16,12,6,16,9,7,66,dawn,P Knuckle V 7510:Recovery,Upgrade Armor*,,,,,
Shadow's Strides,1107067065,"""6917529142063446495""",,Legendary,Leg Armor,,Hunter,960,Void Energy Capacity,7,Hunter(971),true,false,2,7,,N/A,N/A,17,14,14,11,9,9,74,2,14,14,11,9,9,59,opulent,,Mobility Mod*,Traction*,Imperial Opulence*,Upgrade Armor*,,
Orpheus Rig,193869523,"""6917529111301739088""",,Exotic,Leg Armor,,Hunter,960,Void Energy Capacity,7,Hunter(971),true,false,1,1,,N/A,N/A,4,11,15,10,2,19,61,4,11,15,10,2,19,61,,"PvE Nightmares:Paragon, PvE Orpheus:Recovery",Sniper Rifle Scavenger*,Sniper Rifle Scavenger*,Uncanny Arrows*,Fright Night*,Upgrade Armor*,Calliope's Lullaby*
Strides of Ascendancy,2054979724,"""6917529127435490473""",,Legendary,Leg Armor,garden,Hunter,954,Solar Energy Capacity,10,Hunter(971),true,false,3,8,,N/A,N/A,9,31,12,17,4,15,88,2,19,10,15,2,13,61,undying,"Whatever:Resilience?, Wormhusk:Paragon",Resilience Mod*,Traction*,Fusion Rifle Scavenger*,Upgrade Armor*,Intrepid Discovery Strides*,
Righteous Strides,299852984,"""6917529142030049438""",,Legendary,Leg Armor,seasonpass,Hunter,961,Void Energy Capacity,10,Hunter(971),true,false,3,9,,N/A,N/A,31,14,9,12,14,13,93,14,12,7,10,12,11,66,dawn,P Knuckle V 7510:Mobility,Mobility Mod*,Traction*,Sniper Rifle Scavenger*,Bergusian Night*,Upgrade Armor*,Qiao's Strides*
The Bombardiers,1219761634,"""6917529138176373200""",,Exotic,Leg Armor,,Hunter,959,Arc Energy Capacity,7,Hunter(971),true,false,3,9,,N/A,N/A,2,2,32,12,6,8,62,2,2,22,12,6,8,52,,,Recovery Mod*,Shotgun Scavenger*,Parting Gift*,Upgrade Armor*,,
Strides of Ascendancy,2054979724,"""6917529127435487117""",,Legendary,Leg Armor,garden,Hunter,950,Arc Energy Capacity,6,Hunter(971),true,false,3,8,,N/A,N/A,17,8,19,6,24,2,76,2,8,19,6,24,2,61,undying,,Mobility Mod*,Traction*,Upgrade Armor*,,,
Notorious Reaper Strides,1159077399,"""6917529137204959243""",,Legendary,Leg Armor,,Hunter,960,Arc Energy Capacity,10,Hunter(971),true,false,2,6,,N/A,N/A,33,8,9,17,12,8,87,16,6,7,15,10,6,60,,,Mobility Mod*,Traction*,Shotgun Scavenger*,Reaper +3*,Upgrade Armor*,
Notorious Sentry Cloak,154180150,"""6917529129329323614""",,Legendary,Hunter Cloak,,Hunter,950,Solar Energy Capacity,2,Hunter(971),false,false,2,6,,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Sentry +3*,Upgrade Armor*,,,,
Cloak of the Great Hunt,1646520469,"""6917529123107286737""",,Legendary,Hunter Cloak,,Hunter,950,Solar Energy Capacity,4,Hunter(971),true,false,2,4,,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,outlaw,Unique solar,Upgrade Armor*,,,,,
Notorious Collector Cloak,370332340,"""6917529129132922903""",,Legendary,Hunter Cloak,,Hunter,950,Arc Energy Capacity,6,Hunter(971),true,false,2,6,,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unique,Collector +3*,Upgrade Armor*,,,,
Binary Phoenix Cloak,1658896287,"""6917529110357406027""",,Legendary,Hunter Cloak,,Hunter,960,Void Energy Capacity,10,Hunter(971),true,false,1,1,,N/A,N/A,2,12,2,2,2,2,22,2,12,2,2,2,2,22,undying,,Resilience Mod*,Remote Connection*,Remote Connection*,Bergusian Night*,Upgrade Armor*,Phenotype Plasticity Cloak*
Iron Will Cloak,2414679508,"""6917529115139711943""",,Legendary,Hunter Cloak,ironbanner,Hunter,950,Arc Energy Capacity,3,Hunter(971),true,false,3,8,,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undying,Unique arc,Enhanced Resistant Tether*,Iron Mossbone*,Upgrade Armor*,,,
Reverie Dawn Cloak,3250140572,"""6917529130225406097""",,Legendary,Hunter Cloak,,Hunter,950,Arc Energy Capacity,7,Hunter(971),true,false,2,4,,N/A,N/A,0,0,0,10,0,0,10,0,0,0,10,0,0,10,outlaw,,Discipline Mod*,Taken Armaments*,Burnished Dreams*,Upgrade Armor*,,
Dreambane Cloak,193805725,"""6917529102974288829""",,Legendary,Hunter Cloak,moon,Hunter,950,Void Energy Capacity,7,Hunter(971),true,false,3,8,,N/A,N/A,10,0,0,0,0,0,10,10,0,0,0,0,0,10,undying,Unique,Mobility Mod*,Enhanced Nightmare Crusher*,Upgrade Armor*,Chthonic Cloak*,,
Shadow's Mask,326149062,"""6917529142057910196""",,Legendary,Helmet,,Hunter,960,Void Energy Capacity,7,Hunter(971),true,true,2,7,,N/A,N/A,24,14,2,9,6,14,69,14,14,2,9,6,14,59,opulent,,Mobility Mod*,Hive Armaments*,Imperial Opulence*,Upgrade Armor*,,
Iron Will Sleeves,2547799775,"""6917529116564591181""",,Legendary,Gauntlets,ironbanner,Hunter,950,Solar Energy Capacity,6,Hunter(971),true,true,3,8,,N/A,N/A,6,14,9,7,12,21,69,6,14,9,7,2,21,59,undying,PvE Celestial:Intellect,Intellect Mod*,Auto Rifle Loader*,Warbrick*,Upgrade Armor*,,
Dreambane Vest,883769696,"""6917529120825007072""",,Legendary,Chest Armor,moon,Hunter,952,Arc Energy Capacity,10,Hunter(971),true,true,3,8,,N/A,N/A,4,10,29,4,9,20,76,2,8,17,2,7,18,54,undying,PvP,Recovery Mod*,Unflinching Light Arms Aim*,Fright Night*,Upgrade Armor*,Dragonfly Regalia Vest*,
Tangled Web Strides,2092750352,"""6917529121391767802""",,Legendary,Leg Armor,,Hunter,951,Solar Energy Capacity,8,Hunter(971),true,true,2,4,,N/A,N/A,7,2,24,2,7,31,73,2,2,24,2,7,21,58,,"Whatever:Recov, Graviton:Strength",Strength Mod*,Traction*,Fusion Rifle Scavenger*,Fright Night*,Upgrade Armor*,Dragonfly Regalia Strides*
Ancient Apocalypse Cloak,2506514251,"""6917529110451116920""",,Legendary,Hunter Cloak,,Hunter,960,Arc Energy Capacity,10,Hunter(971),true,true,2,4,,N/A,N/A,2,2,12,2,2,2,22,2,2,12,2,2,2,22,undying,"General:Recov, Graviton:Strength",Recovery Mod*,Pump Action*,Pump Action*,Polished Sea Stone*,Upgrade Armor*,Phenotype Plasticity Cloak*
Iron Will Hood,2205315921,"""6917529134577790282""",,Legendary,Helmet,ironbanner,Warlock,950,Solar Energy Capacity,8,Warlock(969),true,false,3,8,,N/A,N/A,6,19,13,8,11,8,65,6,9,13,8,11,8,55,undying,,Resilience Mod*,Precision Weapon Targeting*,Safety First*,Upgrade Armor*,Symmetrists' Mask*,
Dreambane Hood,1528483180,"""6917529130625883793""",,Legendary,Helmet,moon,Warlock,954,Arc Energy Capacity,7,Warlock(969),true,false,3,8,,N/A,N/A,12,11,12,7,7,10,59,12,11,2,7,7,10,49,undying,,Recovery Mod*,Supreme Nightmare Banisher*,Upgrade Armor*,Frostreach Hood*,,
Prodigal Hood,2734010957,"""6917529140082254873""",,Legendary,Helmet,,Warlock,960,Solar Energy Capacity,8,Warlock(969),true,false,2,4,,N/A,N/A,2,22,13,14,2,12,65,2,12,13,14,2,12,55,,,Resilience Mod*,Precision Weapon Targeting*,Vitrified Chronology*,Upgrade Armor*,Frostreach Hood*,
Righteous Hood,1557571326,"""6917529145403386351""",,Legendary,Helmet,seasonpass,Warlock,961,Void Energy Capacity,9,Warlock(969),true,false,3,9,,N/A,N/A,6,10,26,18,2,12,74,6,10,16,18,2,12,64,dawn,,Recovery Mod*,Heavy Ammo Finder*,Upgrade Armor*,,,
Nezarec's Sin,3381022971,"""6917529119801605230""",,Exotic,Helmet,,Warlock,950,Void Energy Capacity,1,Warlock(969),false,false,1,1,,N/A,N/A,10,7,7,6,6,10,46,10,7,7,6,6,10,46,,,Void Resistance*,Abyssal Extractors*,Upgrade Armor*,,,
Apotheosis Veil,1096253259,"""6917529147080060434""",,Exotic,Helmet,,Warlock,960,Arc Energy Capacity,2,Warlock(969),false,false,1,3,,N/A,N/A,6,21,3,10,11,8,59,6,21,3,10,11,8,59,,,Insatiable*,Upgrade Armor*,,,,
Prodigal Hood,2734010957,"""6917529119852773790""",,Legendary,Helmet,,Warlock,949,Solar Energy Capacity,7,Warlock(969),true,false,2,4,,N/A,N/A,2,2,22,2,10,24,62,2,2,22,2,10,14,52,,,Strength Mod*,Scatter Projectile Targeting*,Upgrade Armor*,Mantle of the Cormorant Blade*,,
Iron Will Gloves,863444264,"""6917529134565431080""",,Legendary,Gauntlets,ironbanner,Warlock,950,Solar Energy Capacity,7,Warlock(969),true,false,3,8,,N/A,N/A,26,2,10,2,7,18,65,16,2,10,2,7,18,55,undying,,Mobility Mod*,Momentum Transfer*,Iron Mossbone*,Upgrade Armor*,,
Iron Will Gloves,863444264,"""6917529134516743897""",,Legendary,Gauntlets,ironbanner,Warlock,950,Void Energy Capacity,7,Warlock(969),true,false,3,8,,N/A,N/A,2,21,15,20,2,6,66,2,11,15,20,2,6,56,undying,,Resilience Mod*,Hand Cannon Loader*,Iron Mossbone*,Upgrade Armor*,Symmetrists' Palms*,
Dreambane Gloves,682780965,"""6917529103931527933""",,Legendary,Gauntlets,moon,Warlock,960,Void Energy Capacity,8,Warlock(969),true,false,3,8,,N/A,N/A,7,11,17,11,2,11,59,7,11,7,11,2,11,49,undying,Unique,Recovery Mod*,Enhanced Bow Loader*,Enhanced Nightmare Crusher*,Upgrade Armor*,Frostreach Gloves*,
Iron Will Gloves,863444264,"""6917529115999969692""",,Legendary,Gauntlets,ironbanner,Warlock,960,Void Energy Capacity,7,Warlock(969),true,false,3,8,,N/A,N/A,8,7,24,9,14,7,69,8,7,14,9,14,7,59,undying,,Recovery Mod*,Hand Cannon Loader*,Warbrick*,Upgrade Armor*,,
Wing Theorem,2323865727,"""6917529147468165158""",,Legendary,Gauntlets,,Warlock,963,Solar Energy Capacity,1,Warlock(969),false,false,3,9,,N/A,N/A,6,13,6,9,10,7,51,6,13,6,9,10,7,51,dawn,,Crucible Legacy*,Upgrade Armor*,,,,
Tangled Web Gloves,4146408011,"""6917529127091160850""",,Legendary,Gauntlets,,Warlock,949,Arc Energy Capacity,7,Warlock(969),true,false,2,4,,N/A,N/A,2,18,19,6,19,2,66,2,18,9,6,19,2,56,,,Recovery Mod*,Enhanced Rifle Loader*,Upgrade Armor*,,,
Ophidian Aspect,3627185503,"""6917529116019858787""",,Exotic,Gauntlets,,Warlock,950,Arc Energy Capacity,7,Warlock(969),true,false,1,2,,N/A,N/A,11,6,17,6,6,12,58,11,6,7,6,6,12,48,,,Recovery Mod*,Shotgun Loader*,Cobra Totemic*,Upgrade Armor*,,
Karnstein Armlets,3844826440,"""6917529140611220380""",,Exotic,Gauntlets,,Warlock,940,Void Energy Capacity,6,Warlock(969),true,false,1,1,,N/A,N/A,6,7,13,6,10,16,58,6,7,13,6,10,6,48,,,Strength Mod*,Grenade Launcher Loader*,Vampire's Caress*,Upgrade Armor*,,
Iron Truage Vestments,1604601714,"""6917529145518205152""",,Legendary,Chest Armor,,Warlock,961,Arc Energy Capacity,8,Warlock(969),true,false,3,9,,N/A,N/A,2,9,32,13,7,7,70,2,9,22,13,7,7,60,dawn,,Recovery Mod*,Unflinching Light Arms Aim*,Iron Fuchsite*,Upgrade Armor*,,
Sanguine Alchemy,3070555693,"""6917529140804630558""",,Exotic,Chest Armor,,Warlock,960,Void Energy Capacity,6,Warlock(969),true,false,1,3,,N/A,N/A,8,21,12,12,7,10,70,8,11,12,12,7,10,60,,,Resilience Mod*,Enhanced Unflinching Rifle Aim*,Heightened Senses*,Upgrade Armor*,,
Phoenix Protocol,4057299719,"""6917529127074703342""",,Exotic,Chest Armor,,Warlock,960,Solar Energy Capacity,9,Warlock(969),true,false,2,4,,N/A,N/A,8,6,21,6,12,6,59,8,6,11,6,12,6,49,,,Recovery Mod*,Molten Overload*,Tenderizer*,Battle-Hearth*,Clouds at Sea*,Upgrade Armor*
Dreambane Robes,3692187003,"""6917529131310573366""",,Legendary,Chest Armor,moon,Warlock,955,Solar Energy Capacity,10,Warlock(969),true,false,3,8,,N/A,N/A,4,20,8,15,14,4,65,2,18,6,13,12,2,53,undying,,Upgrade Armor*,,,,,
Iron Will Vestments,4128151712,"""6917529115913891272""",,Legendary,Chest Armor,ironbanner,Warlock,950,Arc Energy Capacity,3,Warlock(969),true,false,3,8,,N/A,N/A,2,9,19,6,13,19,68,2,9,19,6,13,9,58,undying,Recovery + intellect,Strength Mod*,Iron Mossbone*,Upgrade Armor*,Duster of the Cormorant Blade*,,
Dreambane Robes,3692187003,"""6917529104405858431""",,Legendary,Chest Armor,moon,Warlock,960,Arc Energy Capacity,7,Warlock(969),true,false,3,8,,N/A,N/A,6,17,2,2,12,12,51,6,17,2,2,12,12,51,undying,Unique,Tenderizer*,Molten Overload*,Dreambane Mod*,Upgrade Armor*,,
Wings of Sacred Dawn,370930766,"""6917529134384624893""",,Exotic,Chest Armor,,Warlock,961,Solar Energy Capacity,9,Warlock(969),true,false,1,1,,N/A,N/A,14,6,17,6,12,6,61,14,6,7,6,12,6,51,,,Recovery Mod*,Enhanced Unflinching Rifle Aim*,Tome of Dawn*,Crucible Redjack*,Upgrade Armor*,Midnight Sun*
Dreambane Boots,1030110631,"""6917529108916018669""",,Legendary,Leg Armor,moon,Warlock,960,Arc Energy Capacity,7,Warlock(969),true,false,3,8,,N/A,N/A,10,12,18,6,7,12,65,10,12,8,6,7,12,55,undying,Unique,Recovery Mod*,Shotgun Scavenger*,Upgrade Armor*,Frostreach Boots*,,
Iron Will Steps,1498852482,"""6917529115907692621""",,Legendary,Leg Armor,ironbanner,Warlock,960,Arc Energy Capacity,8,Warlock(969),true,false,3,8,,N/A,N/A,8,16,16,2,9,17,68,8,16,6,2,9,17,58,undying,,Recovery Mod*,Shotgun Scavenger*,Shotgun Scavenger*,Vitrified Chronology*,Upgrade Armor*,Frostreach Boots*
Geomag Stabilizers,121305948,"""6917529105875982049""",,Exotic,Leg Armor,,Warlock,935,Arc Energy Capacity,5,Warlock(969),false,false,2,4,,N/A,N/A,12,7,18,6,10,6,59,12,7,8,6,10,6,49,,,Recovery Mod*,Close Enough*,Upgrade Armor*,Electromag Stabilizers*,,
Righteous Boots,936010065,"""6917529139991573438""",,Legendary,Leg Armor,seasonpass,Warlock,958,Solar Energy Capacity,8,Warlock(969),true,false,3,9,,N/A,N/A,2,18,17,11,13,2,63,2,8,17,11,13,2,53,dawn,,Resilience Mod*,Fusion Rifle Scavenger*,Fusion Rifle Scavenger*,Safety First*,Upgrade Armor*,Symmetrists' Balance*
Wing Theorem,1245115841,"""6917529147252193424""",,Legendary,Leg Armor,,Warlock,963,Void Energy Capacity,1,Warlock(969),false,false,3,9,,N/A,N/A,12,13,2,7,11,7,52,12,13,2,7,11,7,52,dawn,,Crucible Legacy*,Upgrade Armor*,,,,
Lunafaction Boots,4136768282,"""6917529109002761389""",,Exotic,Leg Armor,,Warlock,949,Void Energy Capacity,7,Warlock(969),true,false,1,1,,N/A,N/A,14,7,19,9,11,6,66,14,7,9,9,11,6,56,,,Recovery Mod*,Sniper Rifle Scavenger*,Alchemical Etchings*,Upgrade Armor*,,
Righteous Boots,936010065,"""6917529145414907282""",,Legendary,Leg Armor,seasonpass,Warlock,961,Void Energy Capacity,7,Warlock(969),true,false,3,9,,N/A,N/A,10,6,27,10,12,11,76,10,6,17,10,12,11,66,dawn,,Recovery Mod*,Sniper Rifle Scavenger*,Upgrade Armor*,,,
Iron Will Bond,3055410141,"""6917529116019853770""",,Legendary,Warlock Bond,ironbanner,Warlock,951,Arc Energy Capacity,7,Warlock(969),true,false,3,8,,N/A,N/A,0,10,0,0,0,0,10,0,10,0,0,0,0,10,undying,,Resilience Mod*,Pump Action*,Iron Mossbone*,Upgrade Armor*,Bond of Optimacy*,
Dreambane Bond,2048903186,"""6917529121916349022""",,Legendary,Warlock Bond,moon,Warlock,960,Solar Energy Capacity,7,Warlock(969),true,false,3,8,,N/A,N/A,0,0,10,0,0,0,10,0,0,10,0,0,0,10,undying,,Recovery Mod*,Supreme Nightmare Breaker*,Upgrade Armor*,Frostreach Bond*,,
Iron Will Bond,3055410141,"""6917529115907692113""",,Legendary,Warlock Bond,ironbanner,Warlock,950,Solar Energy Capacity,7,Warlock(969),true,false,3,8,,N/A,N/A,0,0,10,0,0,0,10,0,0,10,0,0,0,10,undying,Unique,Recovery Mod*,Light Reactor*,Safety First*,Upgrade Armor*,Bond of Reciprocity*,
Temptation's Bond,3103335676,"""6917529112756965959""",,Legendary,Warlock Bond,garden,Warlock,950,Void Energy Capacity,6,Warlock(969),true,false,3,8,,N/A,N/A,0,0,10,0,0,0,10,0,0,10,0,0,0,10,undying,,Recovery Mod*,Special Finisher*,Echoes of Io*,Upgrade Armor*,Bond of Optimacy*,
Thorium Holt Bond,737010724,"""6917529126839814075""",,Legendary,Warlock Bond,,Warlock,951,Void Energy Capacity,7,Warlock(969),true,false,2,4,,N/A,N/A,0,0,10,0,0,0,10,0,0,10,0,0,0,10,,,Recovery Mod*,Remote Connection*,Upgrade Armor*,,,
Bond of Forgotten Wars,4012302343,"""6917529140622662054""",,Rare,Warlock Bond,,Warlock,940,Arc Energy Capacity,6,Warlock(969),true,false,1,1,,N/A,N/A,0,0,10,0,0,0,10,0,0,10,0,0,0,10,,,Recovery Mod*,Hands-On*,Upgrade Armor*,,,
Reverie Dawn Bond,1928769139,"""6917529134363559990""",,Legendary,Warlock Bond,,Warlock,950,Void Energy Capacity,3,Warlock(969),true,false,2,4,,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,outlaw,,Riven's Curse*,Burnished Dreams*,Upgrade Armor*,,,
Iron Will Hood,2205315921,"""6917529134571755649""",,Legendary,Helmet,ironbanner,Warlock,950,Arc Energy Capacity,7,Warlock(969),true,true,3,8,,N/A,N/A,28,2,12,9,7,14,72,28,2,2,9,7,14,62,undying,,Recovery Mod*,Vitrified Chronology*,Upgrade Armor*,Mantle of the Cormorant Blade*,,
Tangled Web Gloves,4146408011,"""6917529111949585227""",,Legendary,Gauntlets,,Warlock,948,Void Energy Capacity,9,Warlock(969),true,true,2,4,,N/A,N/A,2,6,32,2,8,16,66,2,6,22,2,8,16,56,,"P Wings V RESC:Resilience, P Trans A MOB:Recovery",Recovery Mod*,Enhanced Hand Cannon Loader*,Melchizedek Bramble*,Upgrade Armor*,Arms of Optimacy*,
Righteous Robes,3931361417,"""6917529145403387706""",,Legendary,Chest Armor,seasonpass,Warlock,961,Void Energy Capacity,6,Warlock(969),true,true,3,9,,N/A,N/A,20,12,11,16,9,7,75,10,12,11,16,9,7,65,dawn,P Trans A MOB:Mobility,Mobility Mod*,Unflinching Hand Cannon Aim*,Bergusian Night*,Upgrade Armor*,Duster of the Cormorant Blade*,
Transversive Steps,138282166,"""6917529111960432571""",,Exotic,Leg Armor,,Warlock,949,Arc Energy Capacity,8,Warlock(969),true,true,1,1,,N/A,N/A,22,2,17,6,10,6,63,17,2,7,6,10,6,48,,,Recovery Mod*,Traction*,Strange Protractor*,Vitrified Chronology*,Upgrade Armor*,
Binary Phoenix Bond,1467590642,"""6917529130297170461""",,Legendary,Warlock Bond,,Warlock,960,Arc Energy Capacity,9,Warlock(969),true,true,1,1,,N/A,N/A,0,0,10,0,0,0,10,0,0,10,0,0,0,10,undying,,Recovery Mod*,Pump Action*,Hands-On*,Vitrified Chronology*,Upgrade Armor*,Frostreach Bond*
